Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
0,"[2.032715754087349, 3.21897659793908, 2.3119846345996793, 3.21897659793908]","[0.1127168338562346, 0.369126580748789, 0.14903000464618726, 0.369126580748789]","[3, 3, 2, 1, 0, 2, 2, 3, 0, 2]",9.349857442823101,0.8606805977277683
1,"[2.3352374361523465, 2.6136905025875468, 2.6136905025875468, 2.3352374361523465]","[0.2154165340817305, 0.2845834659182695, 0.2845834659182695, 0.2154165340817305]","[1, 0, 3, 0, 0, 2, 1, 1, 0, 3]",21.598554303529724,0.8189169165930263
2,"[2.2779361210338234, 1.999483054598623, 1.999483054598623, 2.2779361210338234]","[0.2845834659182695, 0.2154165340817305, 0.2154165340817305, 0.2845834659182695]","[0, 2, 1, 2, 1, 3, 3, 0, 3, 3]",10.552598995311515,1.5750124413559745
3,"[3.301230459390342, 2.394238496050941, 2.2282474462456685, 2.672691562486141]","[0.4387707989009668, 0.17714794222127248, 0.15005384035801095, 0.23402741851974967]","[0, 1, 0, 1, 3, 2, 3, 0, 0, 1]",15.11443786091395,0.7179656957331285
4,"[2.356403584121938, 1.9119594678814655, 2.077950517686738, 2.984942481026139]","[0.23402741851974973, 0.150053840358011, 0.1771479422212725, 0.4387707989009669]","[2, 1, 0, 3, 2, 1, 0, 1, 2, 1]",18.404722516384687,1.362057146072371
5,"[2.1523446732809, 2.4307977397161005, 2.4307977397161005, 2.1523446732809]","[0.2154165340817305, 0.28458346591826944, 0.28458346591826944, 0.2154165340817305]","[3, 3, 2, 0, 3, 0, 3, 0, 0, 2]",18.02041228821667,1.1840491542570544
6,"[2.549310031802226, 2.2708569653670256, 2.549310031802226, 2.2708569653670256]","[0.2845834659182695, 0.21541653408173053, 0.2845834659182695, 0.21541653408173053]","[2, 0, 1, 1, 2, 1, 1, 0, 1, 1]",9.08617911753865,0.9375545543056992
7,"[2.8246897253757304, 3.731681688715131, 2.6586986755704576, 3.1031427918109307]","[0.17714794222127253, 0.43877079890096676, 0.15005384035801092, 0.23402741851974973]","[0, 0, 2, 3, 2, 1, 3, 3, 2, 3]",5.558742539136165,0.1392871837286015
8,"[2.904477117195948, 2.904477117195948, 3.1829301836311483, 3.1829301836311483]","[0.2154165340817305, 0.2154165340817305, 0.28458346591826944, 0.28458346591826944]","[2, 2, 2, 3, 3, 0, 3, 2, 2, 0]",8.360063881435961,0.053803973971884855
9,"[2.551596547811025, 2.551596547811025, 3.1801354447152255, 1.9938746008634949]","[0.2248514354643476, 0.2248514354643476, 0.42156703089213077, 0.12873009817917408]","[0, 1, 1, 0, 0, 3, 1, 3, 2, 2]",15.647320741348246,0.9331748984585323
10,"[2.5830607679206823, 2.304607701485482, 3.211599664824883, 2.138616651680209]","[0.23402741851974976, 0.17714794222127253, 0.43877079890096676, 0.15005384035801092]","[1, 2, 3, 1, 1, 0, 3, 1, 2, 2]",8.084476597413039,0.874179875321685
11,"[2.157143340365179, 2.4355964068003795, 3.0641353037045804, 1.9911522905599068]","[0.17714794222127248, 0.2340274185197497, 0.4387707989009668, 0.15005384035801095]","[3, 3, 0, 3, 1, 0, 1, 0, 0, 0]",7.792388693125557,1.173247617370896
12,"[2.1089666952436597, 3.1819497083883332, 2.2749577450489324, 2.5534108114841327]","[0.15005384035801092, 0.43877079890096665, 0.17714794222127253, 0.23402741851974973]","[0, 1, 2, 2, 3, 2, 0, 3, 0, 3]",8.560486395205949,0.929708933530369
13,"[2.3296860524039564, 3.2366780157433572, 2.3296860524039564, 2.3296860524039564]","[0.18258634486998238, 0.4522409653900529, 0.18258634486998238, 0.18258634486998238]","[0, 0, 1, 2, 2, 3, 2, 3, 3, 1]",10.569437059452572,0.8287810294479475
14,"[3.4778478830879767, 2.570855919748576, 2.291587039236246, 3.4778478830879767]","[0.369126580748789, 0.14903000464618724, 0.11271683385623466, 0.369126580748789]","[2, 2, 2, 1, 0, 1, 3, 3, 2, 2]",8.772833145376348,0.4517958185975348
